mjd,rh,delta,alpha,aper_arcsec,mag,mag_err,filter
59989.156567,1.955,1.0,10.195,13.77,15.036,0.019,c
59989.164116,1.955,1.0,10.199,13.77,15.079,0.019,c
59990.122928,1.958,1.006,10.688,13.68,15.168,0.016,c
59990.126087,1.958,1.006,10.69,13.68,15.134,0.016,c
59990.131503,1.958,1.006,10.692,13.68,15.181,0.017,c
59990.149454,1.958,1.006,10.701,13.68,15.209,0.018,c
59990.152156,1.958,1.006,10.703,13.68,15.253,0.019,c
59990.173768,1.958,1.006,10.714,13.68,15.176,0.02,c
59990.190121,1.958,1.006,10.722,13.68,15.151,0.02,c
59990.194353,1.958,1.006,10.724,13.68,15.198,0.02,c
59993.191715,1.967,1.027,12.215,13.41,15.252,0.018,c
59993.195825,1.967,1.027,12.217,13.41,15.281,0.019,c
59993.202625,1.967,1.027,12.22,13.41,15.265,0.019,c
59993.235201,1.968,1.027,12.236,13.4,15.264,0.021,c
59997.193027,1.98,1.057,14.099,13.03,15.467,0.06,c
59997.207966,1.98,1.057,14.106,13.03,15.425,0.093,c
59998.353279,1.983,1.066,14.621,12.91,15.521,0.029,c
59998.397453,1.984,1.066,14.641,12.91,15.548,0.024,c
59998.400165,1.984,1.066,14.642,12.91,15.509,0.023,c
59998.40612,1.984,1.066,14.644,12.91,15.537,0.023,c
59998.442238,1.984,1.067,14.66,12.9,15.527,0.023,c
60001.159526,1.992,1.09,15.834,12.63,15.582,0.02,c
60001.164934,1.992,1.09,15.836,12.63,15.615,0.02,c
60001.187686,1.992,1.09,15.845,12.63,15.664,0.022,c
60001.192643,1.992,1.09,15.848,12.63,15.602,0.021,c
60001.350074,1.993,1.091,15.913,12.61,15.436,0.021,o
60001.353262,1.993,1.091,15.915,12.61,15.311,0.019,o
60001.355972,1.993,1.091,15.916,12.61,15.429,0.021,o
60001.358373,1.993,1.091,15.917,12.61,15.448,0.021,o
60001.358825,1.993,1.091,15.917,12.61,15.455,0.022,o
60001.404169,1.993,1.092,15.936,12.61,15.431,0.021,o
60001.410361,1.993,1.092,15.939,12.61,15.276,0.018,o
60001.412643,1.993,1.092,15.94,12.61,15.39,0.019,o
60001.418648,1.993,1.092,15.942,12.61,15.332,0.019,o
60003.867649,2.001,1.114,16.937,12.36,15.474,0.027,o
60003.870813,2.001,1.114,16.938,12.36,15.468,0.026,o
60003.87602,2.001,1.114,16.94,12.36,15.411,0.026,o
60011.896053,2.028,1.193,19.812,11.54,15.836,0.047,o
60011.899663,2.028,1.193,19.813,11.54,15.78,0.044,o
60011.912832,2.029,1.193,19.817,11.54,15.745,0.044,o
60011.92374,2.029,1.193,19.821,11.54,15.779,0.048,o
60012.890826,2.032,1.203,20.127,11.44,15.805,0.038,o
60012.904081,2.032,1.203,20.132,11.44,15.846,0.04,o
60012.907238,2.032,1.203,20.133,11.44,15.746,0.037,o
60012.918234,2.032,1.203,20.136,11.44,15.805,0.041,o
60013.096369,2.033,1.205,20.192,11.42,15.732,0.043,o
60013.098592,2.033,1.205,20.192,11.42,15.824,0.045,o
60013.108157,2.033,1.205,20.195,11.42,15.689,0.046,o
60013.117863,2.033,1.206,20.198,11.42,15.723,0.046,o
60014.331572,2.037,1.219,20.569,11.3,15.785,0.101,o
60014.335102,2.037,1.219,20.57,11.29,15.791,0.028,o
60014.340394,2.037,1.219,20.572,11.29,15.826,0.084,o
60015.844204,2.042,1.235,21.013,11.14,15.928,0.031,o
60015.848005,2.042,1.235,21.014,11.14,15.945,0.032,o
60015.854785,2.042,1.235,21.016,11.14,15.973,0.033,o
60015.868488,2.043,1.235,21.02,11.14,15.979,0.034,o
