mjd,rh,delta,alpha,aper_arcsec,mag,mag_err,filter
58512.43624,1.204,0.267,30.76,5,13.81,0.03,r
58512.43919,1.204,0.267,30.75,5,13.81,0.03,r
58512.44214,1.204,0.267,30.75,5,13.82,0.03,r
58512.44508,1.204,0.267,30.75,5,13.82,0.03,r
58512.44804,1.205,0.267,30.75,5,13.81,0.03,r
58512.45098,1.205,0.267,30.75,5,13.81,0.03,r
58512.45394,1.205,0.267,30.75,5,13.81,0.03,r
58512.4569,1.205,0.267,30.75,5,13.8,0.03,r
58513.2929,1.21,0.273,30.54,5,13.89,0.03,r
58513.29585,1.21,0.273,30.53,5,13.88,0.03,r
58513.2988,1.21,0.273,30.53,5,13.87,0.02,r
58513.30175,1.21,0.273,30.53,5,13.89,0.03,r
58513.30471,1.21,0.273,30.53,5,13.89,0.03,r
58513.30768,1.21,0.273,30.53,5,13.89,0.03,r
58513.31063,1.21,0.273,30.53,5,13.88,0.03,r
58513.31357,1.21,0.273,30.53,5,13.89,0.03,r
58513.31652,1.21,0.273,30.53,5,13.9,0.03,r
58513.31949,1.21,0.273,30.53,5,13.88,0.03,r
58513.32245,1.21,0.273,30.53,5,13.88,0.03,r
58513.32538,1.21,0.273,30.53,5,13.89,0.03,r
58513.32835,1.21,0.273,30.53,5,13.88,0.03,r
58513.33129,1.21,0.273,30.53,5,13.9,0.03,r
58513.33424,1.21,0.273,30.52,5,13.9,0.03,r
58513.33719,1.21,0.273,30.52,5,13.9,0.03,r
58513.3421,1.21,0.273,30.52,5,13.88,0.03,r
58513.34505,1.21,0.273,30.52,5,13.89,0.03,r
58513.34802,1.21,0.273,30.52,5,13.88,0.03,r
58513.35098,1.21,0.273,30.52,5,13.89,0.03,r
58513.35393,1.21,0.273,30.52,5,13.89,0.03,r
58513.35691,1.21,0.273,30.52,5,13.92,0.04,r
58513.35988,1.21,0.273,30.52,5,13.89,0.03,r
58513.36285,1.21,0.273,30.52,5,13.88,0.03,r
58513.36581,1.21,0.273,30.52,5,13.89,0.03,r
58513.36879,1.21,0.273,30.52,5,13.88,0.03,r
58513.37175,1.21,0.273,30.51,5,13.87,0.02,r
58513.37473,1.21,0.273,30.51,5,13.88,0.03,r
58513.37769,1.21,0.274,30.51,5,13.91,0.04,r
58513.38066,1.21,0.274,30.51,5,13.89,0.03,r
58513.38363,1.21,0.274,30.51,5,13.9,0.03,r
58513.3866,1.21,0.274,30.51,5,13.88,0.03,r
58513.38955,1.21,0.274,30.51,5,13.88,0.03,r
58513.39253,1.21,0.274,30.51,5,13.89,0.03,r
58513.39549,1.21,0.274,30.51,5,13.88,0.03,r
58513.39844,1.21,0.274,30.51,5,13.88,0.03,r
58513.40142,1.21,0.274,30.51,5,13.87,0.03,r
58513.40438,1.211,0.274,30.51,5,13.88,0.03,r
58513.40733,1.211,0.274,30.51,5,13.87,0.03,r
58513.4103,1.211,0.274,30.5,5,13.87,0.03,r
58513.41326,1.211,0.274,30.5,5,13.88,0.03,r
58513.41623,1.211,0.274,30.5,5,13.88,0.03,r
58513.41919,1.211,0.274,30.5,5,13.88,0.03,r
58513.42214,1.211,0.274,30.5,5,13.88,0.03,r
58513.42512,1.211,0.274,30.5,5,13.87,0.03,r
58513.42808,1.211,0.274,30.5,5,13.87,0.03,r
58513.43103,1.211,0.274,30.5,5,13.88,0.03,r
58513.43398,1.211,0.274,30.5,5,13.88,0.02,r
58513.43695,1.211,0.274,30.5,5,13.87,0.02,r
58513.43991,1.211,0.274,30.5,5,13.88,0.03,r
58513.44285,1.211,0.274,30.5,5,13.88,0.02,r
58513.4458,1.211,0.274,30.5,5,13.87,0.02,r
58513.44875,1.211,0.274,30.5,5,13.87,0.02,r
58513.45169,1.211,0.274,30.49,5,13.87,0.03,r
58513.45464,1.211,0.274,30.49,5,13.87,0.03,r
58513.4576,1.211,0.274,30.49,5,13.87,0.03,r
58513.47415,1.211,0.274,30.49,5,13.89,0.04,r
58515.17459,1.222,0.286,30.05,5,14.12,0.03,g
58518.41227,1.243,0.309,29.25,5,14.09,0.05,r
58526.40218,1.299,0.37,27.57,5,15.04,0.03,g
58526.40315,1.299,0.37,27.57,5,15.04,0.03,g
58526.42699,1.299,0.37,27.57,5,15.09,0.03,g
58528.44335,1.314,0.386,27.24,5,14.76,0.03,r
58530.41067,1.329,0.402,26.97,5,15.38,0.04,g
58530.4117,1.329,0.402,26.97,5,15.35,0.06,g
58530.43508,1.329,0.403,26.96,5,15.38,0.04,g
58530.43555,1.329,0.403,26.96,5,15.34,0.04,g
58538.23558,1.389,0.471,26.28,5,15.86,0.04,g
58538.33089,1.39,0.472,26.27,5,15.35,0.04,r
58538.35782,1.39,0.472,26.27,5,15.42,0.04,r
58542.23769,1.421,0.509,26.16,5,15.44,0.05,r
58542.28826,1.421,0.51,26.16,5,15.93,0.04,g
58542.3808,1.422,0.511,26.16,5,15.33,0.06,i
58544.2181,1.437,0.529,26.16,5,15.6,0.03,r
58544.43339,1.438,0.531,26.16,5,16.1,0.03,g
58545.23885,1.445,0.539,26.17,5,16.19,0.04,g
58545.27679,1.445,0.539,26.17,5,15.75,0.05,r
58547.32654,1.462,0.56,26.21,5,15.65,0.04,i
58561.17383,1.577,0.716,27.02,5,17.17,0.04,g
58561.24706,1.578,0.717,27.03,5,16.68,0.04,r
58561.35058,1.579,0.718,27.04,5,16.55,0.03,i
58562.18209,1.586,0.728,27.1,5,16.72,0.04,r
58564.20054,1.603,0.753,27.26,5,17.26,0.06,g
58564.2203,1.603,0.753,27.26,5,17.28,0.05,g
58564.34107,1.604,0.755,27.27,5,16.82,0.04,r
58565.24106,1.612,0.766,27.34,5,17.36,0.07,g
58566.27062,1.62,0.779,27.42,5,17.35,0.19,g
58571.22348,1.663,0.844,27.8,5,17.12,0.03,r
58571.35254,1.664,0.846,27.81,5,16.98,0.04,i
58576.20558,1.705,0.912,28.16,5,17.82,0.05,g
58576.22771,1.705,0.913,28.16,5,17.36,0.04,r
58586.29848,1.792,1.06,28.72,5,17.62,0.05,i
58588.18385,1.808,1.089,28.8,5,17.97,0.05,r
58588.23324,1.808,1.089,28.8,5,18.38,0.05,g
58589.20478,1.816,1.104,28.83,5,18.56,0.06,g
58590.17279,1.825,1.119,28.87,5,18.46,0.08,g
58590.19063,1.825,1.12,28.87,5,18.05,0.06,r
58591.34185,1.835,1.138,28.9,5,17.77,0.12,i
58595.18733,1.868,1.199,28.98,5,18.47,0.12,g
58596.16554,1.876,1.215,29,5,18.57,0.13,g
58596.24267,1.877,1.216,29,5,18.19,0.09,r
58597.26915,1.885,1.233,29.01,5,18.42,0.08,r
58598.15753,1.893,1.247,29.02,5,18.34,0.05,r
58601.24159,1.919,1.298,29.03,5,18.44,0.05,r
58601.25473,1.919,1.299,29.03,5,18.93,0.07,g
58601.34719,1.92,1.3,29.03,5,18.38,0.08,r
58605.26092,1.953,1.366,29,5,18.62,0.06,r
58609.21199,1.986,1.435,28.92,5,19.15,0.07,g
